id,number,start_sura,end_sura
QM01,1,QS01,QS04
QM02,2,QS05,QS09
QM03,3,QS10,QS16
QM04,4,QS17,QS25
QM05,5,QS26,QS36
QM06,6,QS37,QS49
QM07,7,QS50,QS114
